<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IEF.US,5,20251027,143000,97.34,97.345,97.305,97.305,109508,0
IEF.US,5,20251027,143500,97.305,97.3053,97.275,97.28,34595,0
IEF.US,5,20251027,144000,97.275,97.275,97.22,97.235,170311,0
IEF.US,5,20251027,144500,97.235,97.24,97.22,97.235,96617,0
IEF.US,5,20251027,145000,97.23,97.2599,97.2244,97.2244,86886,0
IEF.US,5,20251027,145500,97.22,97.23,97.205,97.2265,60227,0
IEF.US,5,20251027,150000,97.225,97.24,97.22,97.235,99308,0
IEF.US,5,20251027,150500,97.235,97.245,97.23,97.235,184818,0
IEF.US,5,20251027,151000,97.235,97.26,97.23,97.2501,230515,0
IEF.US,5,20251027,151500,97.255,97.279,97.25,97.275,312255,0
IEF.US,5,20251027,152000,97.28,97.295,97.275,97.285,239165,0
IEF.US,5,20251027,152500,97.29,97.32,97.29,97.32,106559,0
IEF.US,5,20251027,153000,97.3195,97.3195,97.2765,97.285,29448,0
IEF.US,5,20251027,153500,97.285,97.3,97.2742,97.2897,44520,0
IEF.US,5,20251027,154000,97.2885,97.3,97.285,97.29,43932,0
IEF.US,5,20251027,154500,97.29,97.305,97.2822,97.295,113432,0
IEF.US,5,20251027,155000,97.2964,97.31,97.2858,97.29,30614,0
IEF.US,5,20251027,155500,97.29,97.3,97.29,97.29,132187,0
IEF.US,5,20251027,160000,97.29,97.29,97.27,97.27,56218,0
IEF.US,5,20251027,160500,97.27,97.2759,97.2441,97.2441,26290,0
IEF.US,5,20251027,161000,97.25,97.26,97.2447,97.26,29785,0
IEF.US,5,20251027,161500,97.26,97.265,97.25,97.265,31455,0
IEF.US,5,20251027,162000,97.27,97.28,97.26,97.265,109678,0
IEF.US,5,20251027,162500,97.265,97.29,97.26,97.29,29411,0
IEF.US,5,20251027,163000,97.29,97.31,97.285,97.31,96800,0
IEF.US,5,20251027,163500,97.305,97.32,97.295,97.305,82641,0
IEF.US,5,20251027,164000,97.305,97.315,97.295,97.31,44261,0
IEF.US,5,20251027,164500,97.306,97.33,97.3,97.3299,61865,0
IEF.US,5,20251027,165000,97.325,97.3577,97.325,97.3489,427559,0
IEF.US,5,20251027,165500,97.345,97.345,97.32,97.34,102218,0
IEF.US,5,20251027,170000,97.34,97.39,97.34,97.37335,106880,0
IEF.US,5,20251027,170500,97.3783,97.38,97.3651,97.375,12970,0
IEF.US,5,20251027,171000,97.375,97.39,97.375,97.385,26541,0
IEF.US,5,20251027,171500,97.3815,97.3876,97.365,97.375,123079,0
IEF.US,5,20251027,172000,97.38,97.405,97.38,97.405,54520,0
IEF.US,5,20251027,172500,97.405,97.41,97.3944,97.405,29325,0
IEF.US,5,20251027,173000,97.4,97.41,97.3815,97.3885,35891,0
IEF.US,5,20251027,173500,97.39,97.395,97.385,97.395,16315,0
IEF.US,5,20251027,174000,97.395,97.4,97.38,97.395,41089,0
IEF.US,5,20251027,174500,97.395,97.42,97.3937,97.415,58128,0
IEF.US,5,20251027,175000,97.415,97.4415,97.415,97.4235,96215,0
IEF.US,5,20251027,175500,97.4273,97.43,97.41,97.41,29759,0
IEF.US,5,20251027,180000,97.415,97.4556,97.41,97.4485,41253,0
IEF.US,5,20251027,180500,97.4401,97.4499,97.4204,97.4484,116400,0
IEF.US,5,20251027,181000,97.45,97.46,97.4401,97.4566,23229,0
IEF.US,5,20251027,181500,97.4565,97.4565,97.425,97.425,45993,0
IEF.US,5,20251027,182000,97.43,97.45,97.43,97.4305,89671,0
IEF.US,5,20251027,182500,97.435,97.445,97.43,97.43,40517,0
IEF.US,5,20251027,183000,97.435,97.44,97.43,97.4399,22930,0
IEF.US,5,20251027,183500,97.44,97.44,97.4201,97.4315,37777,0
IEF.US,5,20251027,184000,97.435,97.435,97.4203,97.425,15531,0
IEF.US,5,20251027,184500,97.4201,97.43,97.4144,97.42,29695,0
IEF.US,5,20251027,185000,97.43,97.44,97.425,97.44,15475,0
IEF.US,5,20251027,185500,97.44,97.44,97.41,97.415,106704,0
IEF.US,5,20251027,190000,97.42,97.4285,97.42,97.4201,19594,0
IEF.US,5,20251027,190500,97.425,97.4298,97.42,97.425,17049,0
IEF.US,5,20251027,191000,97.43,97.43,97.415,97.42,32221,0
IEF.US,5,20251027,191500,97.42,97.43,97.4124,97.43,39002,0
IEF.US,5,20251027,192000,97.43,97.435,97.413,97.415,28224,0
IEF.US,5,20251027,192500,97.415,97.42,97.41,97.41,10603,0
IEF.US,5,20251027,193000,97.4101,97.44,97.41,97.435,32757,0
IEF.US,5,20251027,193500,97.4399,97.44,97.43,97.435,42406,0
IEF.US,5,20251027,194000,97.435,97.4473,97.4344,97.4403,18210,0
IEF.US,5,20251027,194500,97.44,97.4499,97.4301,97.445,49122,0
IEF.US,5,20251027,195000,97.445,97.45,97.4415,97.45,23092,0
IEF.US,5,20251027,195500,97.45,97.465,97.45,97.46,106101,0
IEF.US,5,20251027,200000,97.455,97.46,97.4401,97.45,156203,0
IEF.US,5,20251027,200500,97.4497,97.45,97.4401,97.45,23240,0
IEF.US,5,20251027,201000,97.45,97.48,97.45,97.47667,96882,0
IEF.US,5,20251027,201500,97.48,97.4899,97.47,97.475,39422,0
IEF.US,5,20251027,202000,97.47,97.4899,97.4615,97.47,91606,0
IEF.US,5,20251027,202500,97.4656,97.4656,97.45,97.46,37815,0
IEF.US,5,20251027,203000,97.4558,97.46,97.445,97.4498,43860,0
IEF.US,5,20251027,203500,97.445,97.47,97.445,97.465,66022,0
IEF.US,5,20251027,204000,97.465,97.48,97.45,97.45,144692,0
IEF.US,5,20251027,204500,97.4599,97.4797,97.4544,97.475,60227,0
IEF.US,5,20251027,205000,97.48,97.48,97.47,97.475,89972,0
IEF.US,5,20251027,205500,97.475,97.49,97.46,97.49,729081,0
IEF.US,5,20251028,143000,97.43,97.455,97.43,97.4501,155682,0
IEF.US,5,20251028,143500,97.455,97.47,97.435,97.435,143653,0
IEF.US,5,20251028,144000,97.435,97.45,97.435,97.445,60157,0
IEF.US,5,20251028,144500,97.44,97.46,97.43,97.44,124129,0
IEF.US,5,20251028,145000,97.435,97.47,97.435,97.465,61176,0
IEF.US,5,20251028,145500,97.47,97.48,97.46,97.475,229613,0
IEF.US,5,20251028,150000,97.47,97.48,97.45,97.4501,134847,0
IEF.US,5,20251028,150500,97.46,97.4799,97.46,97.465,90631,0
IEF.US,5,20251028,151000,97.47,97.49,97.465,97.475,28371,0
IEF.US,5,20251028,151500,97.4768,97.4768,97.455,97.46,63005,0
IEF.US,5,20251028,152000,97.45,97.4758,97.45,97.47,55889,0
IEF.US,5,20251028,152500,97.4765,97.4865,97.465,97.48,33368,0
IEF.US,5,20251028,153000,97.48,97.51,97.47,97.48,54851,0
IEF.US,5,20251028,153500,97.4847,97.487,97.465,97.47,65399,0
IEF.US,5,20251028,154000,97.475,97.49,97.4704,97.4801,26056,0
IEF.US,5,20251028,154500,97.48,97.49,97.48,97.49,12936,0
IEF.US,5,20251028,155000,97.4801,97.5,97.48,97.495,26322,0
IEF.US,5,20251028,155500,97.5,97.53,97.4901,97.53,51395,0
IEF.US,5,20251028,160000,97.52,97.55,97.52,97.535,61397,0
IEF.US,5,20251028,160500,97.535,97.5371,97.5123,97.5299,51713,0
IEF.US,5,20251028,161000,97.5299,97.53,97.5224,97.53,19856,0
IEF.US,5,20251028,161500,97.525,97.54,97.515,97.5242,44181,0
IEF.US,5,20251028,162000,97.5227,97.5486,97.5227,97.54,36974,0
IEF.US,5,20251028,162500,97.5429,97.56,97.5429,97.555,27924,0
IEF.US,5,20251028,163000,97.5589,97.58,97.55,97.58,90611,0
IEF.US,5,20251028,163500,97.5886,97.6,97.5803,97.595,30263,0
IEF.US,5,20251028,164000,97.595,97.6291,97.595,97.61,43197,0
IEF.US,5,20251028,164500,97.62,97.62,97.6,97.6065,21725,0
IEF.US,5,20251028,165000,97.6099,97.6099,97.57,97.585,69602,0
IEF.US,5,20251028,165500,97.58,97.59,97.5744,97.59,34858,0
IEF.US,5,20251028,170000,97.59,97.595,97.57,97.5732,27189,0
IEF.US,5,20251028,170500,97.575,97.5862,97.575,97.575,50421,0
IEF.US,5,20251028,171000,97.57,97.5799,97.57,97.5756,13161,0
IEF.US,5,20251028,171500,97.575,97.5799,97.54,97.54,32419,0
IEF.US,5,20251028,172000,97.5456,97.5584,97.54,97.55,25509,0
IEF.US,5,20251028,172500,97.54,97.54,97.53,97.535,206604,0
IEF.US,5,20251028,173000,97.54,97.54,97.49,97.51,208397,0
IEF.US,5,20251028,173500,97.51,97.51,97.48,97.49,92106,0
IEF.US,5,20251028,174000,97.5,97.5258,97.4999,97.5202,18870,0
IEF.US,5,20251028,174500,97.5215,97.535,97.51,97.5299,68936,0
IEF.US,5,20251028,175000,97.53,97.5399,97.5206,97.535,51769,0
IEF.US,5,20251028,175500,97.54,97.55,97.5342,97.5457,52668,0
IEF.US,5,20251028,180000,97.5406,97.5499,97.519,97.52,92640,0
IEF.US,5,20251028,180500,97.5262,97.5301,97.515,97.52,28968,0
IEF.US,5,20251028,181000,97.52,97.53,97.515,97.519,48136,0
IEF.US,5,20251028,181500,97.52,97.54,97.52,97.535,17531,0
IEF.US,5,20251028,182000,97.535,97.5468,97.5301,97.535,16750,0
IEF.US,5,20251028,182500,97.535,97.56,97.5306,97.555,17017,0
IEF.US,5,20251028,183000,97.555,97.57,97.555,97.57,7891,0
IEF.US,5,20251028,183500,97.57,97.57,97.55,97.555,37268,0
IEF.US,5,20251028,184000,97.55,97.5699,97.545,97.56,38813,0
IEF.US,5,20251028,184500,97.56,97.5699,97.55,97.555,25713,0
IEF.US,5,20251028,185000,97.555,97.555,97.545,97.545,11658,0
IEF.US,5,20251028,185500,97.54,97.555,97.54,97.555,20515,0
