<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQQ.US,5,20251027,143000,624.52,625.53,624.48,624.689,1426832,0
QQQ.US,5,20251027,143500,624.69,625.17,624.03,625.06,976765,0
QQQ.US,5,20251027,144000,625.0616,625.2601,624.425,625.06,565162,0
QQQ.US,5,20251027,144500,625.05,625.27,624.71,624.905,520119,0
QQQ.US,5,20251027,145000,624.92,625.16,624.36,625.115,519434,0
QQQ.US,5,20251027,145500,625.115,625.44,624.96,625.3,469109,0
QQQ.US,5,20251027,150000,625.3,625.94,625.155,625.71,780498,0
QQQ.US,5,20251027,150500,625.71,625.91,625.62,625.76,454251,0
QQQ.US,5,20251027,151000,625.73,625.74,625.28,625.565,451455,0
QQQ.US,5,20251027,151500,625.57,625.695,624.89,624.95,426421,0
QQQ.US,5,20251027,152000,624.94,625.21,624.7,625.01,362951,0
QQQ.US,5,20251027,152500,625.01,625.8,624.89,625.79,415421,0
QQQ.US,5,20251027,153000,625.795,626.065,625.53,625.92,511225,0
QQQ.US,5,20251027,153500,625.9,626.23,625.855,626.095,506178,0
QQQ.US,5,20251027,154000,626.09,626.29,626.035,626.27,275365,0
QQQ.US,5,20251027,154500,626.28,626.34,625.7802,625.96,501597,0
QQQ.US,5,20251027,155000,625.96,625.97,625.58,625.77,326464,0
QQQ.US,5,20251027,155500,625.765,626.01,625.39,625.54,281227,0
QQQ.US,5,20251027,160000,625.54,626.26,625.48,626.045,343139,0
QQQ.US,5,20251027,160500,626.04,626.275,625.91,626.01,388568,0
QQQ.US,5,20251027,161000,626,626.43,625.99,626.39,310685,0
QQQ.US,5,20251027,161500,626.39,626.44,626.16,626.195,400861,0
QQQ.US,5,20251027,162000,626.2,626.37,625.95,626.37,381862,0
QQQ.US,5,20251027,162500,626.37,626.58,626.3,626.5,350625,0
QQQ.US,5,20251027,163000,626.51,626.6399,626.4432,626.535,274051,0
QQQ.US,5,20251027,163500,626.54,626.65,626.385,626.495,238963,0
QQQ.US,5,20251027,164000,626.485,626.75,626.48,626.745,350858,0
QQQ.US,5,20251027,164500,626.74,626.74,626.49,626.66,288302,0
QQQ.US,5,20251027,165000,626.67,626.68,626.31,626.36,379174,0
QQQ.US,5,20251027,165500,626.355,626.55,626.29,626.39,237648,0
QQQ.US,5,20251027,170000,626.41,626.72,626.31,626.71,382327,0
QQQ.US,5,20251027,170500,626.72,626.81,626.54,626.745,427984,0
QQQ.US,5,20251027,171000,626.75,626.83,626.6601,626.74,215360,0
QQQ.US,5,20251027,171500,626.74,626.765,626.565,626.57,224260,0
QQQ.US,5,20251027,172000,626.58,626.75,626.5,626.68,331970,0
QQQ.US,5,20251027,172500,626.69,626.695,626.6001,626.6246,234136,0
QQQ.US,5,20251027,173000,626.64,626.795,626.64,626.77,296284,0
QQQ.US,5,20251027,173500,626.77,626.91,626.635,626.65,250811,0
QQQ.US,5,20251027,174000,626.67,626.795,626.6,626.7099,178811,0
QQQ.US,5,20251027,174500,626.705,626.755,626.58,626.695,172024,0
QQQ.US,5,20251027,175000,626.695,626.975,626.695,626.9588,306247,0
QQQ.US,5,20251027,175500,626.96,626.98,626.815,626.9,241441,0
QQQ.US,5,20251027,180000,626.9,626.95,626.78,626.9099,259452,0
QQQ.US,5,20251027,180500,626.9,626.94,626.69,626.72,306489,0
QQQ.US,5,20251027,181000,626.725,626.81,626.55,626.785,244677,0
QQQ.US,5,20251027,181500,626.78,626.84,626.625,626.625,176720,0
QQQ.US,5,20251027,182000,626.625,626.64,626.42,626.44,369730,0
QQQ.US,5,20251027,182500,626.44,626.66,626.3815,626.59,298948,0
QQQ.US,5,20251027,183000,626.6,626.81,626.48,626.76,224530,0
QQQ.US,5,20251027,183500,626.7585,626.96,626.67,626.9115,317146,0
QQQ.US,5,20251027,184000,626.91,627.24,626.89,627.135,709364,0
QQQ.US,5,20251027,184500,627.13,627.26,627.09,627.1959,239689,0
QQQ.US,5,20251027,185000,627.19,627.19,627.07,627.135,167044,0
QQQ.US,5,20251027,185500,627.13,627.255,627.12,627.22,282005,0
QQQ.US,5,20251027,190000,627.2,627.29,627.035,627.245,381493,0
QQQ.US,5,20251027,190500,627.245,627.275,627.11,627.275,141800,0
QQQ.US,5,20251027,191000,627.28,627.3,627.17,627.275,177183,0
QQQ.US,5,20251027,191500,627.275,627.36,627.24,627.33,246834,0
QQQ.US,5,20251027,192000,627.335,627.395,627.2901,627.319,199355,0
QQQ.US,5,20251027,192500,627.3195,627.35,627.25,627.3,126111,0
QQQ.US,5,20251027,193000,627.29,627.315,627.16,627.18,203843,0
QQQ.US,5,20251027,193500,627.185,627.29,627.13,627.28,197476,0
QQQ.US,5,20251027,194000,627.28,627.49,627.245,627.425,365547,0
QQQ.US,5,20251027,194500,627.435,627.53,627.25,627.355,399250,0
QQQ.US,5,20251027,195000,627.3501,627.45,627.27,627.43,260884,0
QQQ.US,5,20251027,195500,627.43,627.685,627.415,627.575,389301,0
QQQ.US,5,20251027,200000,627.57,627.61,627.31,627.345,354752,0
QQQ.US,5,20251027,200500,627.342,627.59,627.3,627.525,315873,0
QQQ.US,5,20251027,201000,627.52,627.6,627.35,627.3646,286008,0
QQQ.US,5,20251027,201500,627.36,627.36,627.13,627.18,641223,0
QQQ.US,5,20251027,202000,627.1701,627.27,627.07,627.21,350661,0
QQQ.US,5,20251027,202500,627.21,627.25,627.12,627.22,361791,0
QQQ.US,5,20251027,203000,627.22,627.3399,627.1601,627.295,457263,0
QQQ.US,5,20251027,203500,627.31,627.67,627.215,627.6,851552,0
QQQ.US,5,20251027,204000,627.6,627.62,627.44,627.4601,602613,0
QQQ.US,5,20251027,204500,627.47,627.875,627.45,627.81,1246302,0
QQQ.US,5,20251027,205000,627.81,628.54,627.81,628.49,1664335,0
QQQ.US,5,20251027,205500,628.49,628.55,628.06,628.09,2862088,0
QQQ.US,5,20251028,143000,630.36,631.36,630.285,630.77,1198546,0
QQQ.US,5,20251028,143500,630.78,630.87,630.1,630.57,940074,0
QQQ.US,5,20251028,144000,630.57,631.07,630.41,630.96,636872,0
QQQ.US,5,20251028,144500,630.97,631.035,630,630.505,702993,0
QQQ.US,5,20251028,145000,630.51,630.57,629.77,629.87,702627,0
QQQ.US,5,20251028,145500,629.87,631.2086,629.82,630.585,695138,0
QQQ.US,5,20251028,150000,630.66,630.88,630.44,630.75,434161,0
QQQ.US,5,20251028,150500,630.73,630.9084,630.39,630.7,585478,0
QQQ.US,5,20251028,151000,630.7,630.89,630.48,630.81,377476,0
QQQ.US,5,20251028,151500,630.81,630.88,630.43,630.49,375454,0
QQQ.US,5,20251028,152000,630.49,630.67,630.21,630.26,439188,0
QQQ.US,5,20251028,152500,630.29,630.565,629.8999,630.19,425968,0
QQQ.US,5,20251028,153000,630.19,630.2494,629.66,629.94,405980,0
QQQ.US,5,20251028,153500,629.93,630.321,629.685,629.71,385677,0
QQQ.US,5,20251028,154000,629.73,629.7801,629.43,629.66,431617,0
QQQ.US,5,20251028,154500,629.65,630.08,629.28,629.96,325319,0
