<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLT.US,5,20251027,143000,91.32,91.38,91.26,91.282,662301,0
TLT.US,5,20251027,143500,91.2899,91.29,91.23,91.2344,229705,0
TLT.US,5,20251027,144000,91.235,91.24,91.11,91.1399,639357,0
TLT.US,5,20251027,144500,91.13,91.16,91.11,91.1356,444550,0
TLT.US,5,20251027,145000,91.13,91.19,91.1,91.12,387089,0
TLT.US,5,20251027,145500,91.115,91.16,91.0944,91.14,406237,0
TLT.US,5,20251027,150000,91.14,91.2,91.12,91.185,279243,0
TLT.US,5,20251027,150500,91.18,91.205,91.16,91.17,383915,0
TLT.US,5,20251027,151000,91.18,91.25,91.1746,91.24,326438,0
TLT.US,5,20251027,151500,91.23,91.27,91.23,91.26,257333,0
TLT.US,5,20251027,152000,91.27,91.3,91.255,91.28,309235,0
TLT.US,5,20251027,152500,91.28,91.38,91.28,91.355,375077,0
TLT.US,5,20251027,153000,91.35,91.355,91.25,91.3,192078,0
TLT.US,5,20251027,153500,91.3,91.31,91.265,91.28,286735,0
TLT.US,5,20251027,154000,91.285,91.315,91.27,91.29,180178,0
TLT.US,5,20251027,154500,91.295,91.33,91.28,91.305,220507,0
TLT.US,5,20251027,155000,91.3,91.3374,91.275,91.29,305829,0
TLT.US,5,20251027,155500,91.29,91.34,91.29,91.29,342889,0
TLT.US,5,20251027,160000,91.29,91.31,91.25,91.25,169648,0
TLT.US,5,20251027,160500,91.26,91.28,91.22,91.23,194782,0
TLT.US,5,20251027,161000,91.23,91.265,91.225,91.265,137210,0
TLT.US,5,20251027,161500,91.26,91.28,91.245,91.2739,152809,0
TLT.US,5,20251027,162000,91.275,91.31,91.27,91.28,214104,0
TLT.US,5,20251027,162500,91.2759,91.325,91.26,91.32,138633,0
TLT.US,5,20251027,163000,91.32,91.39,91.31,91.37,136296,0
TLT.US,5,20251027,163500,91.365,91.41,91.3322,91.3749,173530,0
TLT.US,5,20251027,164000,91.37,91.405,91.36,91.395,199328,0
TLT.US,5,20251027,164500,91.39,91.44,91.375,91.44,262341,0
TLT.US,5,20251027,165000,91.44,91.51,91.43,91.47,329280,0
TLT.US,5,20251027,165500,91.47,91.48,91.44,91.46,224892,0
TLT.US,5,20251027,170000,91.47,91.57,91.455,91.54,345512,0
TLT.US,5,20251027,170500,91.535,91.56,91.52,91.5402,231067,0
TLT.US,5,20251027,171000,91.55,91.58,91.54,91.55,315642,0
TLT.US,5,20251027,171500,91.55,91.55,91.5,91.535,563634,0
TLT.US,5,20251027,172000,91.54,91.5876,91.54,91.5803,351315,0
TLT.US,5,20251027,172500,91.585,91.6,91.575,91.59,160521,0
TLT.US,5,20251027,173000,91.59,91.6,91.5526,91.57,264507,0
TLT.US,5,20251027,173500,91.57,91.59,91.555,91.58,208151,0
TLT.US,5,20251027,174000,91.58,91.59,91.555,91.59,193263,0
TLT.US,5,20251027,174500,91.59,91.635,91.58,91.63,173568,0
TLT.US,5,20251027,175000,91.63,91.7,91.625,91.6714,321653,0
TLT.US,5,20251027,175500,91.67,91.695,91.65,91.67,272562,0
TLT.US,5,20251027,180000,91.67,91.72,91.63,91.695,348087,0
TLT.US,5,20251027,180500,91.69,91.71,91.66,91.71,205932,0
TLT.US,5,20251027,181000,91.71,91.725,91.69,91.71,207130,0
TLT.US,5,20251027,181500,91.705,91.71,91.66,91.67,442643,0
TLT.US,5,20251027,182000,91.67,91.69,91.65,91.66,429246,0
TLT.US,5,20251027,182500,91.6545,91.695,91.6545,91.67,247528,0
TLT.US,5,20251027,183000,91.665,91.6856,91.655,91.685,207344,0
