<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIA.US,5,20251027,143000,474.755,475.16,474.14,474.68,298742,0
DIA.US,5,20251027,143500,474.71,474.72,474.04,474.34,148324,0
DIA.US,5,20251027,144000,474.3,474.3,473.71,474.15,180439,0
DIA.US,5,20251027,144500,474.14,474.35,473.97,474.07,80491,0
DIA.US,5,20251027,145000,474.07,474.62,473.91,474.47,43386,0
DIA.US,5,20251027,145500,474.47,474.73,474.405,474.68,60116,0
DIA.US,5,20251027,150000,474.67,475.17,474.48,474.98,91857,0
DIA.US,5,20251027,150500,474.98,475.26,474.98,475.09,60273,0
DIA.US,5,20251027,151000,475.08,475.145,474.79,474.81,42490,0
DIA.US,5,20251027,151500,474.82,474.91,474.44,474.45,49688,0
DIA.US,5,20251027,152000,474.45,474.67,474.37,474.6,41612,0
DIA.US,5,20251027,152500,474.59,474.61,474.35,474.46,44655,0
DIA.US,5,20251027,153000,474.45,474.64,474.35,474.53,37557,0
DIA.US,5,20251027,153500,474.56,474.73,474.34,474.38,50622,0
DIA.US,5,20251027,154000,474.38,474.6,474.31,474.58,38362,0
DIA.US,5,20251027,154500,474.6,474.64,474.41,474.55,31369,0
DIA.US,5,20251027,155000,474.56,474.56,474.1,474.27,34720,0
DIA.US,5,20251027,155500,474.28,474.43,474.26,474.36,66551,0
DIA.US,5,20251027,160000,474.36,474.36,474.01,474.15,37068,0
DIA.US,5,20251027,160500,474.13,474.14,473.88,473.94,28609,0
DIA.US,5,20251027,161000,473.98,474.14,473.9,474.11,24847,0
DIA.US,5,20251027,161500,474.15,474.15,473.88,474.12,25352,0
DIA.US,5,20251027,162000,474.1,474.2,474.05,474.16,25713,0
DIA.US,5,20251027,162500,474.17,474.47,474.15,474.44,48535,0
DIA.US,5,20251027,163000,474.48,474.61,474.4,474.61,20473,0
DIA.US,5,20251027,163500,474.62,474.64,474.49,474.6,16361,0
DIA.US,5,20251027,164000,474.58,474.75,474.57,474.64,36731,0
DIA.US,5,20251027,164500,474.62,474.63,474.295,474.31,40438,0
DIA.US,5,20251027,165000,474.34,474.46,474.24,474.41,18256,0
DIA.US,5,20251027,165500,474.41,474.62,474.4,474.59,30732,0
DIA.US,5,20251027,170000,474.59,474.72,474.54,474.61,28516,0
DIA.US,5,20251027,170500,474.61,474.76,474.56,474.635,21900,0
DIA.US,5,20251027,171000,474.62,474.63,474.44,474.51,12327,0
DIA.US,5,20251027,171500,474.5,474.53,474.37,474.38,13744,0
DIA.US,5,20251027,172000,474.38,474.46,474.31,474.42,20822,0
DIA.US,5,20251027,172500,474.41,474.44,474.26,474.34,16544,0
DIA.US,5,20251027,173000,474.39,474.53,474.35,474.525,19413,0
DIA.US,5,20251027,173500,474.49,474.52,474.42,474.42,26531,0
DIA.US,5,20251027,174000,474.41,474.56,474.3944,474.545,21236,0
DIA.US,5,20251027,174500,474.54,474.62,474.49,474.6,19047,0
DIA.US,5,20251027,175000,474.58,474.71,474.57,474.61,35041,0
DIA.US,5,20251027,175500,474.61,474.62,474.51,474.53,13980,0
DIA.US,5,20251027,180000,474.53,474.57,474.435,474.49,14319,0
DIA.US,5,20251027,180500,474.48,474.49,474.255,474.265,26917,0
DIA.US,5,20251027,181000,474.22,474.25,474.135,474.19,23967,0
DIA.US,5,20251027,181500,474.22,474.22,473.88,473.94,16637,0
DIA.US,5,20251027,182000,473.92,473.925,473.77,473.84,16300,0
DIA.US,5,20251027,182500,473.83,474.11,473.775,474.09,99716,0
DIA.US,5,20251027,183000,474.1,474.16,473.975,474.145,15108,0
DIA.US,5,20251027,183500,474.14,474.31,474.055,474.31,18398,0
DIA.US,5,20251027,184000,474.31,474.37,474.24,474.35,23604,0
DIA.US,5,20251027,184500,474.33,474.37,474.28,474.29,16281,0
DIA.US,5,20251027,185000,474.28,474.31,474.22,474.3,13991,0
DIA.US,5,20251027,185500,474.3,474.4,474.3,474.335,12060,0
DIA.US,5,20251027,190000,474.34,474.365,474.17,474.23,19137,0
DIA.US,5,20251027,190500,474.23,474.31,474.22,474.25,11839,0
DIA.US,5,20251027,191000,474.29,474.29,474.14,474.15,15350,0
DIA.US,5,20251027,191500,474.16,474.22,474.11,474.19,14766,0
DIA.US,5,20251027,192000,474.18,474.35,474.18,474.29,15114,0
DIA.US,5,20251027,192500,474.27,474.315,474.1701,474.24,10970,0
DIA.US,5,20251027,193000,474.3,474.47,474.292,474.47,10847,0
DIA.US,5,20251027,193500,474.46,474.5,474.39,474.46,16725,0
DIA.US,5,20251027,194000,474.49,474.49,474.36,474.36,16829,0
DIA.US,5,20251027,194500,474.38,474.44,474.3,474.42,25577,0
DIA.US,5,20251027,195000,474.4313,474.45,474.33,474.42,12101,0
DIA.US,5,20251027,195500,474.42,474.57,474.42,474.45,19323,0
DIA.US,5,20251027,200000,474.45,474.53,474.43,474.47,13636,0
DIA.US,5,20251027,200500,474.45,474.55,474.43,474.45,10459,0
DIA.US,5,20251027,201000,474.46,474.57,474.46,474.53,16896,0
DIA.US,5,20251027,201500,474.53,474.57,474.36,474.36,49701,0
DIA.US,5,20251027,202000,474.37,474.57,474.37,474.55,32428,0
DIA.US,5,20251027,202500,474.54,474.735,474.52,474.7226,25143,0
DIA.US,5,20251027,203000,474.74,474.915,474.735,474.86,36499,0
DIA.US,5,20251027,203500,474.8601,475.1801,474.83,475.16,57655,0
DIA.US,5,20251027,204000,475.15,475.2,475.05,475.13,39299,0
DIA.US,5,20251027,204500,475.13,475.39,475.11,475.28,81120,0
DIA.US,5,20251027,205000,475.3,475.38,475.1,475.31,176791,0
DIA.US,5,20251027,205500,475.31,475.62,475.28,475.34,239810,0
DIA.US,5,20251028,143000,478.8,479.14,477.93,478.41,361830,0
DIA.US,5,20251028,143500,478.39,478.66,477.54,477.58,337105,0
DIA.US,5,20251028,144000,477.6,477.67,477.09,477.12,217116,0
DIA.US,5,20251028,144500,477.17,477.26,476.84,477.14,171481,0
DIA.US,5,20251028,145000,477.12,477.72,476.95,477.58,122907,0
DIA.US,5,20251028,145500,477.58,478.22,477.27,477.415,260671,0
DIA.US,5,20251028,150000,477.31,477.69,477.27,477.62,95795,0
DIA.US,5,20251028,150500,477.61,477.67,477.17,477.46,85485,0
DIA.US,5,20251028,151000,477.47,477.675,477.17,477.19,139343,0
DIA.US,5,20251028,151500,477.19,477.86,477.18,477.58,187884,0
DIA.US,5,20251028,152000,477.575,477.75,477.41,477.5,108906,0
DIA.US,5,20251028,152500,477.47,478.035,477.42,477.97,96110,0
DIA.US,5,20251028,153000,477.95,478.26,477.94,478.17,119224,0
DIA.US,5,20251028,153500,478.175,478.58,478.09,478.42,117647,0
DIA.US,5,20251028,154000,478.41,478.45,478.22,478.35,75785,0
DIA.US,5,20251028,154500,478.34,478.465,478.28,478.335,56284,0
DIA.US,5,20251028,155000,478.335,478.54,477.98,478.06,61460,0
DIA.US,5,20251028,155500,478.06,478.08,477.73,477.81,65218,0
DIA.US,5,20251028,160000,477.81,477.92,477.7,477.82,106266,0
DIA.US,5,20251028,160500,477.81,478.14,477.755,477.975,50473,0
DIA.US,5,20251028,161000,477.965,478.015,477.76,477.91,49695,0
DIA.US,5,20251028,161500,477.9,478.21,477.87,478.04,60510,0
DIA.US,5,20251028,162000,478.03,478.05,477.65,477.68,71436,0
DIA.US,5,20251028,162500,477.69,477.7,477.24,477.32,58821,0
DIA.US,5,20251028,163000,477.3,477.44,477.22,477.22,44825,0
DIA.US,5,20251028,163500,477.22,477.33,477.03,477.295,63805,0
DIA.US,5,20251028,164000,477.3,477.31,476.96,477.01,57601,0
DIA.US,5,20251028,164500,476.985,477,476.815,476.92,75958,0
DIA.US,5,20251028,165000,476.905,477.17,476.9,477.06,39162,0
DIA.US,5,20251028,165500,477.06,477.18,476.9518,477.11,28750,0
DIA.US,5,20251028,170000,477.105,477.36,477.105,477.26,31392,0
DIA.US,5,20251028,170500,477.27,477.555,477.18,477.4,41051,0
DIA.US,5,20251028,171000,477.38,477.4,477.235,477.26,25522,0
DIA.US,5,20251028,171500,477.34,477.435,477.23,477.3101,28523,0
DIA.US,5,20251028,172000,477.29,477.31,477.1,477.24,27438,0
DIA.US,5,20251028,172500,477.25,477.68,477.25,477.68,30829,0
DIA.US,5,20251028,173000,477.68,478.59,477.62,478.2,175652,0
DIA.US,5,20251028,173500,478.19,478.23,477.75,477.75,50059,0
DIA.US,5,20251028,174000,477.73,478.01,477.68,477.98,38945,0
DIA.US,5,20251028,174500,477.98,478.215,477.97,478.08,44637,0
DIA.US,5,20251028,175000,478.04,478.47,478.04,478.44,40053,0
DIA.US,5,20251028,175500,478.42,478.765,478.39,478.7,75194,0
DIA.US,5,20251028,180000,478.6887,479.34,478.6887,479.28,119185,0
DIA.US,5,20251028,180500,479.28,479.37,479.06,479.27,67937,0
DIA.US,5,20251028,181000,479.27,479.28,478.86,478.89,66651,0
DIA.US,5,20251028,181500,478.9,479.06,478.84,478.915,73654,0
DIA.US,5,20251028,182000,478.88,479.11,478.85,479.08,23046,0
DIA.US,5,20251028,182500,479.08,479.08,478.7,478.745,22956,0
DIA.US,5,20251028,183000,478.75,478.795,478.55,478.69,34274,0
DIA.US,5,20251028,183500,478.67,478.76,478.5,478.53,39506,0
DIA.US,5,20251028,184000,478.54,478.745,478.51,478.62,84915,0
DIA.US,5,20251028,184500,478.62,478.85,478.495,478.75,50990,0
DIA.US,5,20251028,185000,478.75,479,478.73,478.755,29593,0
DIA.US,5,20251028,185500,478.755,478.765,478.595,478.65,36933,0
DIA.US,5,20251028,190000,478.7,478.79,478.64,478.78,33486,0
DIA.US,5,20251028,190500,478.78,478.8,478.695,478.76,45652,0
DIA.US,5,20251028,191000,478.77,479.03,478.74,479.01,30216,0
DIA.US,5,20251028,191500,479.01,479.38,479,479.38,41332,0
DIA.US,5,20251028,192000,479.39,479.405,479.19,479.2,26038,0
DIA.US,5,20251028,192500,479.19,479.19,478.91,478.96,21309,0
DIA.US,5,20251028,193000,478.94,478.94,478.655,478.665,31606,0
DIA.US,5,20251028,193500,478.6,478.6,478.4356,478.45,17034,0
DIA.US,5,20251028,194000,478.45,478.6,478.44,478.53,28279,0
DIA.US,5,20251028,194500,478.52,478.52,478.31,478.44,23253,0
DIA.US,5,20251028,195000,478.45,478.65,478.44,478.65,25340,0
DIA.US,5,20251028,195500,478.64,478.68,478.5,478.5,26209,0
DIA.US,5,20251028,200000,478.49,478.49,478.29,478.32,52308,0
DIA.US,5,20251028,200500,478.33,478.34,478.05,478.115,40867,0
DIA.US,5,20251028,201000,478.12,478.19,477.99,478.1,49053,0
DIA.US,5,20251028,201500,478.095,478.13,478.02,478.08,34025,0
DIA.US,5,20251028,202000,478.07,478.08,477.96,478.06,26811,0
DIA.US,5,20251028,202500,478.09,478.45,477.97,478.34,64204,0
