<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLD.US,5,20251027,143000,371.13,371.59,369.885,370.965,576742,0
GLD.US,5,20251027,143500,370.95,371.565,370.825,371.01,295082,0
GLD.US,5,20251027,144000,371.03,371.06,369.6,370.3,485683,0
GLD.US,5,20251027,144500,370.25,370.49,369.17,369.7,380574,0
GLD.US,5,20251027,145000,369.7036,370.38,369.59,369.6575,223159,0
GLD.US,5,20251027,145500,369.66,370.05,369.45,369.98,251168,0
GLD.US,5,20251027,150000,370.01,370.12,368.5,368.93,571460,0
GLD.US,5,20251027,150500,369.02,369.64,367.94,368.62,580261,0
GLD.US,5,20251027,151000,368.575,368.86,368.28,368.435,314967,0
GLD.US,5,20251027,151500,368.42,368.69,366.88,367.35,623520,0
GLD.US,5,20251027,152000,367.305,367.63,366.59,367.2702,602183,0
GLD.US,5,20251027,152500,367.31,368.46,366.87,367.87,350725,0
GLD.US,5,20251027,153000,367.8825,368.02,367.16,367.512,237685,0
GLD.US,5,20251027,153500,367.557,367.61,366.41,366.77,297000,0
GLD.US,5,20251027,154000,366.77,367.9,366.7414,367.53,318547,0
GLD.US,5,20251027,154500,367.515,367.9035,367.2,367.51,187843,0
GLD.US,5,20251027,155000,367.5055,367.74,366.65,366.94,212752,0
GLD.US,5,20251027,155500,366.915,366.9606,366.53,366.85,306826,0
GLD.US,5,20251027,160000,366.8634,366.9,365.8,366.195,354832,0
GLD.US,5,20251027,160500,366.17,366.34,365.36,365.62,390957,0
GLD.US,5,20251027,161000,365.62,366.17,365.34,366.02,333336,0
GLD.US,5,20251027,161500,366.01,366.6,365.74,366.28,158448,0
GLD.US,5,20251027,162000,366.2999,366.6,365.985,366.26,112512,0
GLD.US,5,20251027,162500,366.275,366.94,366.02,366.7973,189672,0
GLD.US,5,20251027,163000,366.8,367.44,366.64,366.905,197969,0
GLD.US,5,20251027,163500,366.9585,367.18,366.7375,366.78,120202,0
GLD.US,5,20251027,164000,366.81,366.93,366.11,366.36,156887,0
GLD.US,5,20251027,164500,366.34,366.705,366.29,366.51,141901,0
GLD.US,5,20251027,165000,366.53,367.13,366.42,366.85,111771,0
GLD.US,5,20251027,165500,366.855,367.1299,366.665,367.08,154609,0
GLD.US,5,20251027,170000,367.07,367.36,366.7847,367.01,99589,0
GLD.US,5,20251027,170500,367.03,367.2725,366.78,366.99,96993,0
GLD.US,5,20251027,171000,367,367.54,366.91,367.44,95092,0
GLD.US,5,20251027,171500,367.45,367.8538,367.35,367.58,110336,0
GLD.US,5,20251027,172000,367.585,367.69,367.19,367.31,125881,0
GLD.US,5,20251027,172500,367.31,367.345,366.79,366.79,82045,0
GLD.US,5,20251027,173000,366.815,367.18,366.52,367.0118,120765,0
GLD.US,5,20251027,173500,367.01,367.44,366.935,367.36,144238,0
GLD.US,5,20251027,174000,367.37,367.54,367.26,367.37,82032,0
GLD.US,5,20251027,174500,367.37,367.65,367.28,367.423,112469,0
GLD.US,5,20251027,175000,367.43,367.62,367.24,367.45,91493,0
GLD.US,5,20251027,175500,367.401,368.05,367.4,367.925,118972,0
GLD.US,5,20251027,180000,367.9906,368.395,367.95,368.21,113259,0
GLD.US,5,20251027,180500,368.22,368.4,367.7701,367.89,134648,0
GLD.US,5,20251027,181000,367.88,368.0558,367.8,367.843,96734,0
GLD.US,5,20251027,181500,367.89,367.91,367.29,367.375,110858,0
GLD.US,5,20251027,182000,367.38,367.78,367.16,367.765,147055,0
GLD.US,5,20251027,182500,367.76,368.567,367.72,368.45,208729,0
GLD.US,5,20251027,183000,368.51,368.65,368.12,368.38,106054,0
GLD.US,5,20251027,183500,368.37,368.5,367.9,368.19,90880,0
GLD.US,5,20251027,184000,368.11,368.4,368.095,368.237,79299,0
GLD.US,5,20251027,184500,368.22,368.71,368.211,368.6415,74211,0
GLD.US,5,20251027,185000,368.64,368.65,368.385,368.56,98240,0
GLD.US,5,20251027,185500,368.57,368.85,368.44,368.625,126358,0
GLD.US,5,20251027,190000,368.585,368.67,368.2261,368.53,65578,0
GLD.US,5,20251027,190500,368.54,368.9305,368.54,368.799,127874,0
GLD.US,5,20251027,191000,368.785,368.91,368.42,368.8555,116918,0
GLD.US,5,20251027,191500,368.84,368.92,368.69,368.732,58040,0
GLD.US,5,20251027,192000,368.75,368.83,368.48,368.56,48746,0
GLD.US,5,20251027,192500,368.57,368.8,368.56,368.78,51144,0
GLD.US,5,20251027,193000,368.76,368.86,368.4101,368.543,67923,0
GLD.US,5,20251027,193500,368.545,368.605,368.05,368.21,95526,0
GLD.US,5,20251027,194000,368.23,368.52,368.05,368.3,108079,0
GLD.US,5,20251027,194500,368.3,368.65,368.17,368.535,101650,0
GLD.US,5,20251027,195000,368.52,368.7488,368.52,368.625,43511,0
GLD.US,5,20251027,195500,368.62,368.63,367.82,367.95,156191,0
GLD.US,5,20251027,200000,367.96,368.517,367.61,368.32,137170,0
GLD.US,5,20251027,200500,368.29,368.43,367.91,368.14,93597,0
GLD.US,5,20251027,201000,368.11,368.28,368.0275,368.135,148773,0
GLD.US,5,20251027,201500,368.105,368.28,367.86,367.934,126991,0
GLD.US,5,20251027,202000,367.97,367.98,367.6501,367.7903,135069,0
GLD.US,5,20251027,202500,367.8299,367.84,366.99,367.03,123413,0
GLD.US,5,20251027,203000,367.035,367.31,366.99,366.99,154288,0
GLD.US,5,20251027,203500,366.99,367.27,366.87,367.22,184154,0
GLD.US,5,20251027,204000,367.27,367.27,366.78,366.855,177624,0
GLD.US,5,20251027,204500,366.86,367.19,366.84,366.98,219057,0
GLD.US,5,20251027,205000,366.97,367.09,366.66,366.72,275073,0
GLD.US,5,20251027,205500,366.715,367.07,366.65,367.01,807390,0
GLD.US,5,20251028,143000,361.81,361.88,360.94,360.96,657258,0
GLD.US,5,20251028,143500,361,361.55,360.82,361.07,338838,0
GLD.US,5,20251028,144000,361.07,361.13,360.12,360.82,530544,0
GLD.US,5,20251028,144500,360.87,361.69,360.582,361.67,332575,0
GLD.US,5,20251028,145000,361.66,362.17,361.65,361.955,420845,0
GLD.US,5,20251028,145500,361.91,362.5599,361.72,362.3999,294745,0
GLD.US,5,20251028,150000,362.375,362.76,362.32,362.62,244469,0
GLD.US,5,20251028,150500,362.62,362.89,362.52,362.62,179870,0
GLD.US,5,20251028,151000,362.61,362.86,361.9801,362.419,303319,0
GLD.US,5,20251028,151500,362.44,362.71,362.34,362.4,165118,0
GLD.US,5,20251028,152000,362.45,362.79,362.43,362.59,147185,0
GLD.US,5,20251028,152500,362.59,363.485,362.59,363.44,279330,0
GLD.US,5,20251028,153000,363.46,363.495,362.95,363.28,173648,0
GLD.US,5,20251028,153500,363.3,363.36,362.86,362.95,149224,0
GLD.US,5,20251028,154000,362.9014,363.2,362.44,363.035,142521,0
GLD.US,5,20251028,154500,362.99,363.47,362.7107,363.36,82234,0
GLD.US,5,20251028,155000,363.353,363.75,363.1605,363.34,154637,0
GLD.US,5,20251028,155500,363.34,363.69,363.2012,363.43,147228,0
GLD.US,5,20251028,160000,363.415,363.85,363.16,363.69,122520,0
GLD.US,5,20251028,160500,363.67,363.94,363.41,363.845,174127,0
GLD.US,5,20251028,161000,363.855,364.35,363.79,364.24,189494,0
GLD.US,5,20251028,161500,364.28,364.41,364.09,364.21,170064,0
GLD.US,5,20251028,162000,364.205,364.39,364.0601,364.355,173192,0
GLD.US,5,20251028,162500,364.33,364.4,364.0101,364.2,89733,0
GLD.US,5,20251028,163000,364.2,364.8,364.11,364.61,146290,0
GLD.US,5,20251028,163500,364.61,364.7241,364.43,364.71,81101,0
GLD.US,5,20251028,164000,364.67,364.81,364.62,364.68,102640,0
GLD.US,5,20251028,164500,364.6827,365,364.66,364.88,69198,0
GLD.US,5,20251028,165000,364.91,365.24,364.77,364.8,220832,0
GLD.US,5,20251028,165500,364.86,365.0483,364.66,364.79,105192,0
GLD.US,5,20251028,170000,364.81,364.84,363.81,364.07,262942,0
