<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYG.US,5,20251027,143000,81.17,81.21,81.16,81.165,469359,0
HYG.US,5,20251027,143500,81.165,81.18,81.15,81.175,549481,0
HYG.US,5,20251027,144000,81.175,81.19,81.16,81.17,866056,0
HYG.US,5,20251027,144500,81.18,81.18,81.15,81.15,626392,0
HYG.US,5,20251027,145000,81.15,81.15,81.13,81.145,919544,0
HYG.US,5,20251027,145500,81.145,81.155,81.14,81.155,600693,0
HYG.US,5,20251027,150000,81.155,81.16,81.14,81.155,219287,0
HYG.US,5,20251027,150500,81.155,81.18,81.155,81.175,684340,0
HYG.US,5,20251027,151000,81.175,81.18,81.1701,81.18,146601,0
HYG.US,5,20251027,151500,81.18,81.18,81.165,81.165,348798,0
HYG.US,5,20251027,152000,81.165,81.17,81.16,81.165,122879,0
HYG.US,5,20251027,152500,81.17,81.18,81.165,81.18,154043,0
HYG.US,5,20251027,153000,81.175,81.18,81.16,81.18,363394,0
HYG.US,5,20251027,153500,81.175,81.19,81.175,81.19,131621,0
HYG.US,5,20251027,154000,81.19,81.21,81.185,81.21,619601,0
HYG.US,5,20251027,154500,81.205,81.21,81.19,81.195,841068,0
HYG.US,5,20251027,155000,81.19,81.195,81.15,81.16,687919,0
HYG.US,5,20251027,155500,81.165,81.19,81.165,81.19,1602519,0
HYG.US,5,20251027,160000,81.19,81.19,81.175,81.185,437125,0
HYG.US,5,20251027,160500,81.185,81.19,81.17,81.175,416404,0
HYG.US,5,20251027,161000,81.175,81.19,81.175,81.19,269182,0
HYG.US,5,20251027,161500,81.19,81.19,81.17,81.185,205983,0
HYG.US,5,20251027,162000,81.185,81.19,81.17,81.17,497114,0
HYG.US,5,20251027,162500,81.175,81.19,81.165,81.185,290171,0
HYG.US,5,20251027,163000,81.185,81.2,81.18,81.2,49937,0
HYG.US,5,20251027,163500,81.2,81.21,81.19,81.195,497788,0
HYG.US,5,20251027,164000,81.195,81.21,81.19,81.21,376375,0
HYG.US,5,20251027,164500,81.21,81.21,81.195,81.205,475700,0
HYG.US,5,20251027,165000,81.205,81.21,81.19,81.21,127591,0
HYG.US,5,20251027,165500,81.205,81.22,81.205,81.215,65686,0
HYG.US,5,20251027,170000,81.215,81.24,81.21,81.235,90591,0
HYG.US,5,20251027,170500,81.24,81.24,81.23,81.235,79649,0
HYG.US,5,20251027,171000,81.235,81.24,81.23,81.235,101503,0
HYG.US,5,20251027,171500,81.235,81.24,81.23,81.235,81064,0
HYG.US,5,20251027,172000,81.235,81.25,81.23,81.245,211210,0
