<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IWM.US,5,20251027,143000,251.78,251.79,250.6414,251.41,1136455,0
IWM.US,5,20251027,143500,251.4,252.21,251.24,252.11,598724,0
IWM.US,5,20251027,144000,252.12,252.12,251.39,251.77,487983,0
IWM.US,5,20251027,144500,251.74,251.84,251.42,251.52,323389,0
IWM.US,5,20251027,145000,251.52,251.92,251.42,251.849,327946,0
IWM.US,5,20251027,145500,251.85,251.92,251.58,251.82,289584,0
IWM.US,5,20251027,150000,251.82,251.87,251.37,251.45,351385,0
IWM.US,5,20251027,150500,251.45,251.84,251.45,251.69,220697,0
IWM.US,5,20251027,151000,251.68,251.71,251.25,251.38,245861,0
IWM.US,5,20251027,151500,251.39,251.52,250.92,250.925,283488,0
IWM.US,5,20251027,152000,250.925,251.17,250.88,251.065,422974,0
IWM.US,5,20251027,152500,251.07,251.15,250.87,250.99,415750,0
IWM.US,5,20251027,153000,250.96,251,250.67,250.78,352249,0
IWM.US,5,20251027,153500,250.785,251.01,250.66,250.72,505961,0
IWM.US,5,20251027,154000,250.71,250.75,250.49,250.615,334161,0
IWM.US,5,20251027,154500,250.6,250.635,250.23,250.36,383662,0
IWM.US,5,20251027,155000,250.35,250.42,250.18,250.27,261959,0
IWM.US,5,20251027,155500,250.26,250.47,250.1602,250.23,322306,0
IWM.US,5,20251027,160000,250.24,250.39,250.1,250.2799,303991,0
IWM.US,5,20251027,160500,250.26,250.3,249.995,250.0701,379244,0
IWM.US,5,20251027,161000,250.07,250.25,250.0499,250.24,251911,0
IWM.US,5,20251027,161500,250.23,250.26,250,250.15,228605,0
IWM.US,5,20251027,162000,250.14,250.19,249.92,250.14,242162,0
IWM.US,5,20251027,162500,250.14,250.585,250.14,250.515,289313,0
IWM.US,5,20251027,163000,250.52,250.72,250.48,250.715,199063,0
IWM.US,5,20251027,163500,250.73,250.79,250.615,250.7658,240437,0
IWM.US,5,20251027,164000,250.77,250.8,250.5117,250.515,353783,0
IWM.US,5,20251027,164500,250.515,250.525,250.265,250.305,375338,0
IWM.US,5,20251027,165000,250.305,250.305,250.055,250.055,313063,0
IWM.US,5,20251027,165500,250.055,250.295,250.05,250.215,318914,0
IWM.US,5,20251027,170000,250.22,250.24,250.0201,250.095,379033,0
IWM.US,5,20251027,170500,250.095,250.1,249.89,249.93,344847,0
IWM.US,5,20251027,171000,249.93,249.94,249.7,249.885,565194,0
IWM.US,5,20251027,171500,249.88,249.92,249.665,249.665,322152,0
IWM.US,5,20251027,172000,249.66,249.95,249.62,249.875,394638,0
IWM.US,5,20251027,172500,249.87,249.905,249.76,249.835,349537,0
IWM.US,5,20251027,173000,249.84,249.88,249.68,249.74,323840,0
IWM.US,5,20251027,173500,249.74,249.77,249.58,249.59,318663,0
IWM.US,5,20251027,174000,249.6,249.81,249.5,249.775,349082,0
IWM.US,5,20251027,174500,249.775,250.04,249.775,250.005,206590,0
IWM.US,5,20251027,175000,250.005,250.23,249.985,250.14,271242,0
IWM.US,5,20251027,175500,250.14,250.19,250.0504,250.185,164163,0
IWM.US,5,20251027,180000,250.185,250.19,249.9001,250.05,181141,0
IWM.US,5,20251027,180500,250.065,250.145,249.895,250,217527,0
IWM.US,5,20251027,181000,249.995,250.03,249.85,249.855,204831,0
IWM.US,5,20251027,181500,249.84,249.91,249.61,249.7,205143,0
IWM.US,5,20251027,182000,249.695,249.7,249.53,249.6,265989,0
IWM.US,5,20251027,182500,249.6,249.925,249.555,249.895,250710,0
IWM.US,5,20251027,183000,249.895,250.085,249.835,250.045,232415,0
IWM.US,5,20251027,183500,250.05,250.195,250.015,250.185,148108,0
IWM.US,5,20251027,184000,250.185,250.29,250.16,250.19,215925,0
IWM.US,5,20251027,184500,250.185,250.24,250.12,250.16,170988,0
IWM.US,5,20251027,185000,250.16,250.16,250.01,250.01,176048,0
IWM.US,5,20251027,185500,250,250.14,249.99,250.02,171470,0
IWM.US,5,20251027,190000,250.02,250.07,249.76,249.925,225431,0
IWM.US,5,20251027,190500,249.925,250.095,249.92,250.04,172940,0
IWM.US,5,20251027,191000,250.045,250.2,250.015,250.15,130798,0
IWM.US,5,20251027,191500,250.155,250.165,250.02,250.05,179074,0
IWM.US,5,20251027,192000,250.055,250.12,250.02,250.03,142574,0
IWM.US,5,20251027,192500,250.04,250.06,249.945,250.02,154921,0
IWM.US,5,20251027,193000,250.03,250.135,250.025,250.095,139485,0
IWM.US,5,20251027,193500,250.1,250.22,250.0901,250.175,169377,0
IWM.US,5,20251027,194000,250.18,250.26,250.15,250.245,171512,0
IWM.US,5,20251027,194500,250.25,250.28,250.18,250.25,163953,0
IWM.US,5,20251027,195000,250.24,250.26,250.15,250.21,177490,0
IWM.US,5,20251027,195500,250.21,250.25,250.11,250.14,199466,0
IWM.US,5,20251027,200000,250.16,250.17,250.025,250.1,231711,0
IWM.US,5,20251027,200500,250.09,250.2299,250.055,250.21,206178,0
IWM.US,5,20251027,201000,250.205,250.47,250.205,250.47,203238,0
IWM.US,5,20251027,201500,250.4742,250.48,250.205,250.265,266430,0
IWM.US,5,20251027,202000,250.27,250.3,250.16,250.28,243993,0
IWM.US,5,20251027,202500,250.27,250.31,250.19,250.21,176634,0
IWM.US,5,20251027,203000,250.21,250.285,250.105,250.115,362838,0
IWM.US,5,20251027,203500,250.115,250.285,250.11,250.27,327674,0
IWM.US,5,20251027,204000,250.27,250.29,250.2,250.23,393856,0
IWM.US,5,20251027,204500,250.23,250.385,250.165,250.36,443473,0
IWM.US,5,20251027,205000,250.37,250.53,250.33,250.4844,765325,0
IWM.US,5,20251027,205500,250.49,250.53,250.19,250.33,1649313,0
IWM.US,5,20251028,143000,249.55,249.56,248.66,248.9569,890575,0
IWM.US,5,20251028,143500,248.96,249.25,248.85,248.96,598879,0
