<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LQD.US,5,20251027,143000,112.71,112.715,112.64,112.66,136787,0
LQD.US,5,20251027,143500,112.66,112.66,112.61,112.625,264185,0
LQD.US,5,20251027,144000,112.625,112.625,112.555,112.58,550170,0
LQD.US,5,20251027,144500,112.57,112.585,112.56,112.58,494979,0
LQD.US,5,20251027,145000,112.58,112.61,112.555,112.555,522590,0
LQD.US,5,20251027,145500,112.56,112.6,112.55,112.58,255965,0
LQD.US,5,20251027,150000,112.59,112.615,112.5699,112.605,530338,0
LQD.US,5,20251027,150500,112.61,112.62,112.59,112.5951,643890,0
LQD.US,5,20251027,151000,112.595,112.6499,112.59,112.64,490182,0
LQD.US,5,20251027,151500,112.6486,112.665,112.64,112.65,308713,0
LQD.US,5,20251027,152000,112.66,112.685,112.655,112.68,219861,0
LQD.US,5,20251027,152500,112.68,112.72,112.675,112.715,168776,0
LQD.US,5,20251027,153000,112.715,112.715,112.65,112.67,303869,0
LQD.US,5,20251027,153500,112.675,112.68,112.66,112.66,464995,0
LQD.US,5,20251027,154000,112.665,112.685,112.655,112.679,527578,0
LQD.US,5,20251027,154500,112.68,112.69,112.655,112.676,268856,0
LQD.US,5,20251027,155000,112.67,112.695,112.655,112.66,136217,0
LQD.US,5,20251027,155500,112.67,112.695,112.655,112.655,226375,0
LQD.US,5,20251027,160000,112.6501,112.67,112.625,112.635,475057,0
LQD.US,5,20251027,160500,112.635,112.65,112.6,112.605,395751,0
LQD.US,5,20251027,161000,112.605,112.635,112.6,112.635,407771,0
LQD.US,5,20251027,161500,112.635,112.6397,112.615,112.6397,100044,0
LQD.US,5,20251027,162000,112.635,112.65,112.62,112.625,190701,0
LQD.US,5,20251027,162500,112.625,112.6655,112.62,112.66,166607,0
LQD.US,5,20251027,163000,112.66,112.7,112.655,112.69,127342,0
LQD.US,5,20251027,163500,112.69,112.705,112.6699,112.69,92403,0
LQD.US,5,20251027,164000,112.685,112.695,112.66,112.69,452607,0
LQD.US,5,20251027,164500,112.68,112.725,112.67,112.725,255813,0
LQD.US,5,20251027,165000,112.725,112.76,112.7117,112.745,190831,0
LQD.US,5,20251027,165500,112.74,112.745,112.72,112.725,294431,0
LQD.US,5,20251027,170000,112.725,112.805,112.725,112.785,223983,0
LQD.US,5,20251027,170500,112.79,112.805,112.78,112.795,80681,0
LQD.US,5,20251027,171000,112.795,112.815,112.79,112.7942,139505,0
LQD.US,5,20251027,171500,112.79,112.8,112.765,112.785,193096,0
LQD.US,5,20251027,172000,112.79,112.83,112.79,112.825,138349,0
LQD.US,5,20251027,172500,112.8253,112.83,112.81,112.815,83560,0
LQD.US,5,20251027,173000,112.815,112.83,112.8,112.815,100621,0
LQD.US,5,20251027,173500,112.81,112.825,112.805,112.825,108037,0
LQD.US,5,20251027,174000,112.82,112.83,112.81,112.83,193062,0
LQD.US,5,20251027,174500,112.825,112.86,112.82,112.86,188519,0
LQD.US,5,20251027,175000,112.855,112.895,112.855,112.8665,201943,0
LQD.US,5,20251027,175500,112.865,112.875,112.84,112.85,177328,0
LQD.US,5,20251027,180000,112.8418,112.9,112.835,112.885,163520,0
LQD.US,5,20251027,180500,112.885,112.895,112.865,112.895,272688,0
LQD.US,5,20251027,181000,112.89,112.9,112.88,112.885,329284,0
LQD.US,5,20251027,181500,112.885,112.885,112.855,112.8632,94995,0
LQD.US,5,20251027,182000,112.87,112.87,112.845,112.845,377081,0
LQD.US,5,20251027,182500,112.845,112.88,112.845,112.86,54267,0
LQD.US,5,20251027,183000,112.86,112.88,112.855,112.8702,76373,0
LQD.US,5,20251027,183500,112.87,112.885,112.865,112.8794,275063,0
LQD.US,5,20251027,184000,112.875,112.88,112.87,112.87,212552,0
LQD.US,5,20251027,184500,112.8689,112.875,112.85,112.8633,78712,0
LQD.US,5,20251027,185000,112.87,112.8852,112.8654,112.885,382716,0
LQD.US,5,20251027,185500,112.885,112.885,112.85,112.855,483990,0
LQD.US,5,20251027,190000,112.86,112.865,112.85,112.8512,174013,0
LQD.US,5,20251027,190500,112.85,112.86,112.84,112.845,233625,0
LQD.US,5,20251027,191000,112.85,112.85,112.84,112.845,99339,0
LQD.US,5,20251027,191500,112.845,112.85,112.835,112.845,239471,0
LQD.US,5,20251027,192000,112.845,112.85,112.83,112.83,262615,0
LQD.US,5,20251027,192500,112.83,112.84,112.81,112.82,128363,0
LQD.US,5,20251027,193000,112.82,112.86,112.815,112.855,142910,0
LQD.US,5,20251027,193500,112.855,112.86,112.83,112.845,375565,0
LQD.US,5,20251027,194000,112.845,112.8658,112.845,112.865,277475,0
LQD.US,5,20251027,194500,112.86,112.87,112.85,112.86,130568,0
LQD.US,5,20251027,195000,112.86,112.875,112.85,112.875,311942,0
LQD.US,5,20251027,195500,112.875,112.905,112.875,112.89,774353,0
LQD.US,5,20251027,200000,112.89,112.895,112.875,112.885,139164,0
