<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPY.US,5,20251027,143000,682.73,683.19,682.56,682.68,1691746,0
SPY.US,5,20251027,143500,682.69,682.89,682.115,682.835,1171942,0
SPY.US,5,20251027,144000,682.81,682.865,682.28,682.75,813580,0
SPY.US,5,20251027,144500,682.76,682.9,682.48,682.6,580869,0
SPY.US,5,20251027,145000,682.61,683,682.33,682.955,589255,0
SPY.US,5,20251027,145500,682.975,683.23,682.7488,683.08,580760,0
SPY.US,5,20251027,150000,683.09,683.61,682.91,683.365,906377,0
SPY.US,5,20251027,150500,683.36,683.6,683.355,683.395,642912,0
SPY.US,5,20251027,151000,683.4,683.41,683.02,683.23,460680,0
SPY.US,5,20251027,151500,683.23,683.27,682.53,682.5599,645128,0
SPY.US,5,20251027,152000,682.535,682.8,682.4,682.71,618222,0
SPY.US,5,20251027,152500,682.705,683.0607,682.515,683.04,802805,0
SPY.US,5,20251027,153000,683.03,683.13,682.76,683.06,518423,0
SPY.US,5,20251027,153500,683.06,683.33,683.04,683.08,462880,0
SPY.US,5,20251027,154000,683.08,683.335,683.015,683.32,459269,0
SPY.US,5,20251027,154500,683.34,683.36,682.98,683.1,351586,0
SPY.US,5,20251027,155000,683.095,683.11,682.57,682.76,408152,0
SPY.US,5,20251027,155500,682.74,682.98,682.595,682.69,388913,0
SPY.US,5,20251027,160000,682.69,682.92,682.6101,682.78,340251,0
SPY.US,5,20251027,160500,682.78,682.85,682.55,682.62,227172,0
SPY.US,5,20251027,161000,682.62,683.05,682.62,683.04,410677,0
SPY.US,5,20251027,161500,683.04,683.1,682.865,682.99,322857,0
SPY.US,5,20251027,162000,682.9959,683.14,682.875,683.14,340659,0
SPY.US,5,20251027,162500,683.13,683.37,683.13,683.36,311970,0
SPY.US,5,20251027,163000,683.36,683.53,683.33,683.44,500990,0
SPY.US,5,20251027,163500,683.45,683.48,683.26,683.44,296404,0
SPY.US,5,20251027,164000,683.435,683.6,683.43,683.56,247779,0
SPY.US,5,20251027,164500,683.57,683.575,683.305,683.39,271436,0
SPY.US,5,20251027,165000,683.39,683.39,683.2,683.25,282103,0
SPY.US,5,20251027,165500,683.24,683.465,683.2,683.42,257598,0
SPY.US,5,20251027,170000,683.4124,683.71,683.39,683.705,379719,0
SPY.US,5,20251027,170500,683.705,683.78,683.55,683.6801,406499,0
SPY.US,5,20251027,171000,683.69,683.69,683.54,683.62,285699,0
SPY.US,5,20251027,171500,683.62,683.63,683.46,683.46,235744,0
SPY.US,5,20251027,172000,683.47,683.625,683.375,683.615,256802,0
SPY.US,5,20251027,172500,683.6199,683.62,683.45,683.5,267286,0
SPY.US,5,20251027,173000,683.51,683.76,683.5058,683.695,363552,0
SPY.US,5,20251027,173500,683.69,683.77,683.551,683.57,227471,0
SPY.US,5,20251027,174000,683.56,683.72,683.52,683.65,234439,0
SPY.US,5,20251027,174500,683.655,683.695,683.54,683.67,146993,0
SPY.US,5,20251027,175000,683.67,683.8756,683.67,683.83,264653,0
SPY.US,5,20251027,175500,683.83,683.88,683.69,683.74,294782,0
SPY.US,5,20251027,180000,683.75,683.79,683.67,683.77,310025,0
SPY.US,5,20251027,180500,683.775,683.79,683.5603,683.5603,269537,0
SPY.US,5,20251027,181000,683.57,683.645,683.455,683.625,293264,0
SPY.US,5,20251027,181500,683.62,683.67,683.41,683.42,273803,0
SPY.US,5,20251027,182000,683.42,683.43,683.21,683.22,383363,0
SPY.US,5,20251027,182500,683.2101,683.445,683.17,683.4399,329587,0
SPY.US,5,20251027,183000,683.44,683.61,683.315,683.5899,259200,0
SPY.US,5,20251027,183500,683.585,683.785,683.511,683.78,215923,0
SPY.US,5,20251027,184000,683.77,683.97,683.73,683.93,820360,0
SPY.US,5,20251027,184500,683.94,683.99,683.85,683.9001,580303,0
SPY.US,5,20251027,185000,683.91,683.91,683.78,683.83,263450,0
SPY.US,5,20251027,185500,683.8201,683.95,683.81,683.94,378093,0
SPY.US,5,20251027,190000,683.93,683.96,683.76,683.89,311691,0
SPY.US,5,20251027,190500,683.89,683.94,683.81,683.9,168680,0
SPY.US,5,20251027,191000,683.91,683.9299,683.83,683.87,197610,0
SPY.US,5,20251027,191500,683.865,683.93,683.82,683.875,180459,0
SPY.US,5,20251027,192000,683.8701,683.965,683.86,683.865,184627,0
SPY.US,5,20251027,192500,683.87,683.9198,683.8,683.855,221319,0
SPY.US,5,20251027,193000,683.855,684.03,683.85,684,336523,0
SPY.US,5,20251027,193500,683.995,684.06,683.89,684,518528,0
